,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,Name of Foreign Business,moodys32 affiliated German firm name,moodys32 notes,moodys32 mentions a subsidiary,moodys32 mentions stock ownership,moodys32 subsidiary is AG,moodys32 mentions an affilated company,moodys32 mentions a plant/office/branch,moodys32 is a subsidiary of a German firm,moodys32 other types of agreement,moodys34 affiliated German firm name,moodys34 reviewed_notes,moodys34 mentions a subsidiary,moodys34 mentions stock ownership,moodys34 subsidiary is AG,moodys34 mentions an affilated company,moodys34 mentions a plant/office/branch,moodys34 is a subsidiary of a German firm,moodys34 other types of agreement,tenenbaum affiliated German firm name,tenenbaum notes,tenenbaum mentions a subsidiary,tenenbaum mentions stock ownership,tenenbaum subsidiary is AG,tenenbaum mentions an affilated company,tenenbaum mentions a plant/office/branch,tenenbaum is a subsidiary of a German firm,tenenbaum other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
266,Underwood Elliott Fisher Company,True,True,True,True,True,True,"['Adrema Maschinenebau G.m.b.H.', 'Deutsche Underwood Elliott Fisher G.m.b.H.', 'Deutsche Underwood Elliott Fisher G.m.b.H.', 'Iris Type G.m.b.H.', 'Mercedes Buromaschinen Werke A.G.']","Mercedes Buromaschinen-Werke A.G. of Zella-Mehlis, Thuringen","...on Dec. 22, 1980, acquired a substantial financial interest in Mercedes Buromaschinen-Werke A.G. of Zella-Mehlis, Thuringen, Germany, and entered into an arrangement for interchange of technical rights and manufacturing information. The Mercedes Co. produces eletric typewriters and bookkeeping machines.",False,True,True,False,False,False,True,"Mercedes Buromaschinen Werke A. G. of Zella-Mehlis, Thuringen Germany","On Dec. 22, 1930, Underwood Elliot Fisher Co. (Del.), acquired a substantial financial interest in Mercedes Buromaschinen Werke A. G. of Zella-Mehlis, Thuringian Germany...",False,True,True,False,False,False,False,Mercedes Büromaschinen-Werke A. G.; Adrema Maschinenbau G.m.b.H.; Iris Type G.m.b.H.,"The UNDERWOOD ELLIOT FISHER Co. holds a majority of the stock of the Mercedes Büromaschinen -Werke A. G. (5,000,000 RM ) .A contract for the exchange of patent rights and manufacturing information exists between the parent Company and German sub- sidiary The Mercedes Büromaschinenwerke G. owns the following: Adrema Maschinenbau G.m.b.H. capital 1,000,000 RM (100%); Iris Type G.m.b.H. capital 20,000 RM (100%)",True,True,True,False,False,False,True,"['Mercedes Büromaschinen-Werke Aktiengesellschaft,']",['Mercedes Büromaschinen-Werke Aktiengesellschaft.']
267,Union Banking Corp. Cornelis Lievense,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['August Thyssen-Bank Akt.-Ges.'],
268,Union Special Machine Co.,True,False,False,False,False,False,"['Union Special Maschinenfabrik G.m.b.H.', 'Union Special Maschinenfabrik G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,United American Bosch Corporation,False,True,True,False,False,False,,"Robert Bosch A.G., Stuttgart, Germany","In Dec., 1980, company issued 69,600 shares of stock and warrants representing the rights to purchase 50,000 shares of stock in exchange for substantially all the assets of Robert Bosch Magneto Co., Inc. formerly exclusive distributor in United States and Canada of the products manufactured by Robert Bosch A. G., Stuttgart, Germany. These products are now distributed by the United American Bosch Corp, through direct agreement with Robert Bosch, A.G.",False,False,False,False,False,True,False,"Robert Bosch, A. G.","Incorporated Jan. 9, 1919, in New York as American Bosch Magneto Corp., later renamed. The Bosche Magneto Co. was originally formed by Robert Bosch in Stuttgart, germnay, in 1885... In December, 1930, company issued 69,600 shares of stock and warrants representing the rights to purchase 50,000 shares of stock in exchange for substantially all the assets of Robert Bosch Magneto Co., Inc., formerly exclusive distributor in United States and Canada of the products manufactured by Robert Bosch A. G., Stuttgart, Germany. These products are now distributed by the United American Bosch Corp. through direct agreement with Robert Bosch, A. G.",False,False,False,False,False,False,True,,,,,,,,,,,
270,United Continental Corporation,True,False,False,False,False,False,"['""Rustica"" A.G. fuer Grunderwerb', 'Verkehrs & Handels Aktiengesellschaft', 'Verkehrs & Handels Aktiengesellschaft']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,United Fruit Company,True,False,False,False,False,False,"['Unida Schiffstreuhand, G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,United Press Associations,True,False,False,False,False,False,"['United Press Associations', 'United Press (Deutschland) G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,United Shoe Machinery Corporation,True,False,False,False,False,False,"['Boston Blacking Company G.m.b.H.', 'Deutsche Vereinigte Schuhmaschinen Gesellschaft', 'Maschinenfabrik Turner Aktien-Gesellschaft']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,United States Hoffman Machinery Corporation,True,False,True,True,False,False,['Hoffman Bugelmaschinen Gesellschaft m.b.H.'],,,,,,,,,,"Hoffman Bugelmaschinen Gesellschaft, berlin","Other wholly-owned subsidiaires are: ... Hoffman Bugelmaschinen Gesellschaft, Berlin, ...",True,False,False,False,False,False,False,Hoffman Bügelmaschinen G.m.b.H.,"The UNITED STATES HOFFMAN MACHINERY CORPORATION , a leading manufacturer of pressing, cleaning, and textile machines , owns in Germany the Hoffman Bügelmaschinen G.m.b.H., and a concern. of the same name in Austria .",True,False,False,False,False,False,False,,
275,"United States Lines Operations, Inc.",True,False,False,False,False,False,"['United States Lines Operations, Inc.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,United States Steel Corporation,False,True,False,False,False,False,,"Fried. Krupp, A. G., Germany","Contracts for Krupp's Stainless Steel Patent Rights: On April 17, 1931 James A. Farrell, President, announced that an arrangement had been concluded by the United States Steel Corp. with Fried. Krupp, A. G., Germany, whereby the subsidiary companies of the steel corporation are licensed by Krupp under various patents of Strauss. Johnson, Armstrong, Fry, Kuehn and Smith for rust-resisting and heat-resisting and other alloy steels and for the heat treatment thereof. ",False,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,
277,"United Statess Lines, Co.",True,False,True,False,False,False,"['Rosskai, G.m.b.H.']",,,,,,,,,,None,"Operations, which are carried on by the Roosevelt Steamship Co., consist of a passenger, mail and express cargo services between New York City, British and French channel ports and Germany.",False,False,False,False,False,False,False,,,,,,,,,,,
278,"Universal Picture Co., Inc.",True,False,True,True,False,False,"['Deutsche Universal Film, A.G.']",,,,,,,,,,"Deutsche Universal Film, A.G.","In section ""Subsidiaries"": Company directly or indirectly controls the following companies through ownership of all or a majority of capital stock: ... Deutsche Universal Film, A.G.",True,False,True,False,False,False,False,Deutsche Universalfilm A.G.,"The UNIVERSAL CORPORATION owns 91 % of the Universal Pic- tures Co., Inc. which holds 100 % of Universal Film Exchanges Inc. This last concern owns outright the Deutsche Universalfilm A.G., capital 2,000,000 RM. ",True,False,True,False,False,False,False,,
279,Valvoline Oil Co.,False,False,True,False,False,False,,,,,,,,,,,NA,"Company has... foreign branches in Liverpool, ..., Hamburg, ...",False,False,False,False,True,False,False,,,,,,,,,,,
280,"W. A. Harriman & Co., Inc., New York.",False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Deutsch-Atlantische Telegraphengesellschaft'],"['Vereinigte Königs- und Laurahütte, Actien-Gesellschaft für Bergbau und Hüttenbetrieb.']"
281,"W. A. Harriman & Co., New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Silesian Holding Co.; Silesian American Corporation,"W. A. HARRIMAN & Co., New York and the Anaconda Copper Co. own the Silesian Holding Co., which possesses 51% of the Silesian American Corporation , the other 49 % being held by the German Bergwerkgesellschaft Georg von Giesches Erben . The Silesian American Corporation owns 100% the Giesches Spolka Akcyjna, Polish Silesia , capital 172,000,000 zloty .",True,False,False,False,False,False,False,,
282,Walter Kidde & Company,True,False,False,False,False,False,['Walter Kidde G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Warner Bros,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tobis Tonbild-Syndikat Aktiengesellschaft'],
284,Watch Tower Bible & Tract Society,True,False,False,False,False,False,['Watch Tower Bible & Tract Society (Wachtturn Bibel- und Traktat-Gesellschaft)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Waterman Steamship,True,False,False,False,False,False,['Waterman Linien (Vertretung Bremen) G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Western Electric Export Corporation,True,False,False,False,False,False,['Western Electric G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Westhold Corporation,True,False,False,False,False,False,['Ota Schlesische Schurwerke Ottmuth A.G.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Westinghouse Electric International Co.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Siemens -Schuckertwerke A. G.,"The WESTINGHOUSE ELECTRIC INTERNATIONAL Co. has a patent agreement with the Siemens -Schuckertwerke A. G., which is controlled by Siemens & Halske . The agreement , which ran from October 17, 1924-1934 , and was renewed in 1934, provided that the American concern would get exclusive rights in the United States and Canada, while the German firm got similar rights in Germany, Austria , Hungary , Danzig , Latvia , Lithuania , and Estonia . All the rest of the world except Japan and territory given exclusively to Metropol- itan - Vickers in contract with Westinghouse was made non ex- clusive territory.",False,False,False,False,False,False,True,,
289,"William R. Warner & Co., Inc.",True,False,False,False,False,False,"['Godecke & Co. Chemische Fabrik A.G.', 'Godecke & Co. Chemische Fabrik und Export A.G.', 'Warner, W.R. and Co. G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,William Rhodes Davis,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,"Europäische Tanklager und Transport A.G.; ""Debag” Betriebstoff A.G.","WILLIAM RHODES DAVIS , through Crusader Petroleum Industries Ltd. , London , owns outright the Europäische Tanklager und Transport A.G. The concern holds a majority of the stock of the ""Debag” Betriebstoff A.G. , capital 1,500,000 RM .",True,False,True,False,False,False,False,,
291,Witroth Corporation,True,False,False,False,False,False,"['Oppelener Lagerhaus Gesellschaft', 'Ostrhederei']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Wm. Wrigley Jr. Company,False,False,True,True,True,True,,,,,,,,,,,Wrigley A.G.,"In description: ""Owns factories in ... Franfurt, Germany..."" ""German plant is operated by subsidiary, Wrigley A. G.""",True,False,False,False,True,False,False,Wrigley A. G.,"The WM . WRIGLEY , JR ., COMPANY owns 100 % the Wrigley A. G. , capital 100,000 RM .",False,False,True,False,False,False,False,['Wrigley Aktiengesellschaft'],['Wrigley Aktiengesellschaft.']
293,Worthington Pump and Machinery Corp.,True,True,True,True,False,False,['Deutsche Worthington Gesellschaft m.b.H.'],"Worthington Pumpen und Machinenbau Gesellschaft m.b.H., Germany","Companies owns or controls the following subsidiaries:... Worthington Pumpen und Machinenbau Gesellschaft m.b.H., Germany",True,False,False,False,False,False,False,"Deustche Worthington Gesellschaft, m.b.H., germany","In section Subsidiaries: Company onws or controls the following subsidiaries: ... Deutsche Worthington Gesellschaft, m. b. H., Germany",True,False,False,False,False,False,False,Deutsche Worthington G.m.b.H.,"The WORTHINGTON PUMP MACHINERY CORPORATION possesses in Germany the Deutsche Worthington G.m.b.H. capital 75,000 RM., and Austria the Worthington Pumpen und Maschinenbaugesellschaft m.b.H. with capital 100,000 Schillings",True,False,False,False,False,False,False,,
